flood-risk-type,name,notes,prefix,reference,entry-date,start-date,end-date
fluvial-model,Fluvial model,,,,20/07/2023,20/07/2023,
tidal-model,Tidal model,,,,20/07/2023,20/07/2023,
fluvial-event,Fluvial event,,,,20/07/2023,20/07/2023,
tidal-event,Tidal event,,,,20/07/2023,20/07/2023,
coastal-event,Coastal event,,,,20/07/2023,20/07/2023,
